opportunity_id,title,organization,category,domain,description,min_cgpa,max_cgpa,eligible_years,eligible_branches,eligible_degrees,age_min,age_max,nationality,gender_requirement,required_skills,preferred_skills,technical_skills,soft_skills,required_experience,certifications_required,projects_required,location,city,work_mode,start_date,end_date,deadline,duration,stipend,funding_amount,benefits,certificate,mentorship,placement_opportunity,career_impact,application_url,contact_email,last_verified,status
1,Artificial Intelligence Opportunity 1,GovSampleOrg1,Government Internship,Artificial Intelligence,Government Internship in Artificial Intelligence for student development,6.0,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,International,Any,C|JavaScript,SQL|DSA,C|JavaScript,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,Bengaluru,On-site,2026-09-11,2026-10-12,2026-09-11,2 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,Yes,Medium,https://sample-opportunities.example/opportunity/1,contact1@sampleorg.example,2026-09-04,Upcoming
2,Machine Learning Opportunity 2,GovSampleOrg2,Government Scholarship,Machine Learning,Government Scholarship in Machine Learning for student development,7.0,NA,3|4,All Engineering,BTech|BE,18,NA,Any,Any,C++|HTML,Git|Algorithms,C++|HTML,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,Delhi,Hybrid,2026-09-12,2026-10-14,2026-09-11,3 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,Low,https://sample-opportunities.example/opportunity/2,contact2@sampleorg.example,2026-09-04,Closed
3,Data Science Opportunity 3,GovSampleOrg3,Government Fellowship,Data Science,Government Fellowship in Data Science for student development,7.5,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,India,Any,Java|CSS,GitHub|Machine Learning,Java|CSS,Communication|Teamwork|Problem Solving,None,NA,Yes,India,Mumbai,Online,2026-09-13,2026-10-16,2026-09-11,4 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,High,https://sample-opportunities.example/opportunity/3,contact3@sampleorg.example,2026-09-04,Open
4,Web Development Opportunity 4,GovSampleOrg4,Government Program,Web Development,Government Program in Web Development for student development,8.0,NA,1,All,UG,18,NA,International,Any,JavaScript|SQL,DSA|Deep Learning,JavaScript|SQL,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,Hyderabad,Remote,2026-09-14,2026-10-18,2026-09-12,5 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,Medium,https://sample-opportunities.example/opportunity/4,contact4@sampleorg.example,2026-09-04,Upcoming
5,Mobile Development Opportunity 5,GovSampleOrg5,Government Research Program,Mobile Development,Government Research Program in Mobile Development for student development,NA,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,Any,Any,HTML|Git,Algorithms|Artificial Intelligence,HTML|Git,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,NA,On-site,2026-09-15,2026-10-20,2026-09-12,6 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,Low,https://sample-opportunities.example/opportunity/5,contact5@sampleorg.example,2026-09-04,Closed
6,Software Engineering Opportunity 6,GovSampleOrg6,Government Skill Development Program,Software Engineering,Government Skill Development Program in Software Engineering for student development,6.0,NA,3|4,All Engineering,BTech|BE,18,NA,India,Any,CSS|GitHub,Machine Learning|Data Science,CSS|GitHub,Communication|Teamwork|Problem Solving,None,NA,No,India,Bengaluru,Hybrid,2026-09-16,2026-10-22,2026-09-13,7 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,High,https://sample-opportunities.example/opportunity/6,contact6@sampleorg.example,2026-09-04,Open
7,Cybersecurity Opportunity 7,GovSampleOrg7,Government Innovation Program,Cybersecurity,Government Innovation Program in Cybersecurity for student development,7.0,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,International,Any,SQL|DSA,Deep Learning|Statistics,SQL|DSA,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,Delhi,Online,2026-09-17,2026-10-24,2026-09-13,8 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,Medium,https://sample-opportunities.example/opportunity/7,contact7@sampleorg.example,2026-09-04,Upcoming
8,Cloud Computing Opportunity 8,GovSampleOrg8,Government Grant,Cloud Computing,Government Grant in Cloud Computing for student development,7.5,NA,1,All,UG,18,NA,Any,Any,Git|Algorithms,Artificial Intelligence|Pandas,Git|Algorithms,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,Mumbai,Remote,2026-09-18,2026-10-26,2026-09-14,9 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,Low,https://sample-opportunities.example/opportunity/8,contact8@sampleorg.example,2026-09-04,Closed
9,DevOps Opportunity 9,GovSampleOrg9,Public Sector Internship,DevOps,Public Sector Internship in DevOps for student development,8.0,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,India,Any,GitHub|Machine Learning,Data Science|NumPy,GitHub|Machine Learning,Communication|Teamwork|Problem Solving,None,NA,Yes,India,Hyderabad,On-site,2026-09-19,2026-10-28,2026-09-14,10 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,Yes,High,https://sample-opportunities.example/opportunity/9,contact9@sampleorg.example,2026-09-04,Open
10,Blockchain Opportunity 10,GovSampleOrg10,Private Internship,Blockchain,Private Internship in Blockchain for student development,NA,NA,3|4,All Engineering,BTech|BE,18,NA,International,Any,DSA|Deep Learning,Statistics|TensorFlow,DSA|Deep Learning,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,NA,Hybrid,2026-09-20,2026-10-30,2026-09-15,11 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,Yes,Medium,https://sample-opportunities.example/opportunity/10,contact10@sampleorg.example,2026-09-04,Upcoming
11,Robotics Opportunity 11,GovSampleOrg11,Technology Internship,Robotics,Technology Internship in Robotics for student development,6.0,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,Any,Any,Algorithms|Artificial Intelligence,Pandas|PyTorch,Algorithms|Artificial Intelligence,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,Bengaluru,Online,2026-09-21,2026-11-01,2026-09-15,12 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,Yes,Low,https://sample-opportunities.example/opportunity/11,contact11@sampleorg.example,2026-09-04,Closed
12,Internet of Things Opportunity 12,GovSampleOrg12,Research Internship,Internet of Things,Research Internship in Internet of Things for student development,7.0,NA,1,All,UG,18,NA,India,Any,Machine Learning|Data Science,NumPy|NLP,Machine Learning|Data Science,Communication|Teamwork|Problem Solving,None,NA,No,India,Delhi,Remote,2026-09-22,2026-11-03,2026-09-16,1 Months,NA,NA,Certificate|Mentorship,Yes,Yes,Yes,High,https://sample-opportunities.example/opportunity/12,contact12@sampleorg.example,2026-09-04,Open
